CMDLINE /Users/inki/anaconda/bin/python julia1_memoryprofiler1.py
MEM 63.519531 1510660652.4065
MEM 63.632812 1510660652.5116
MEM 63.734375 1510660652.6166
MEM 63.839844 1510660652.7194
MEM 63.953125 1510660652.8245
MEM 64.050781 1510660652.9260
MEM 64.164062 1510660653.0310
MEM 63.359375 1510660653.1361
MEM 63.464844 1510660653.2364
MEM 63.566406 1510660653.3415
MEM 63.675781 1510660653.4426
MEM 63.785156 1510660653.5477
MEM 63.886719 1510660653.6493
MEM 63.996094 1510660653.7544
MEM 64.105469 1510660653.8595
MEM 64.207031 1510660653.9637
MEM 64.320312 1510660654.0678
MEM 64.429688 1510660654.1728
MEM 64.539062 1510660654.2751
MEM 64.636719 1510660654.3753
MEM 64.746094 1510660654.4793
MEM 64.859375 1510660654.5844
MEM 64.960938 1510660654.6895
MEM 65.066406 1510660654.7900
MEM 65.179688 1510660654.8951
MEM 65.285156 1510660654.9952
MEM 65.386719 1510660655.0992
MEM 65.496094 1510660655.2043
MEM 65.605469 1510660655.3094
MEM 65.710938 1510660655.4145
MEM 65.820312 1510660655.5177
MEM 65.925781 1510660655.6213
MEM 66.027344 1510660655.7251
MEM 66.128906 1510660655.8263
MEM 66.234375 1510660655.9299
MEM 66.328125 1510660656.0308
MEM 66.433594 1510660656.1336
MEM 66.531250 1510660656.2368
MEM 66.640625 1510660656.3380
MEM 66.742188 1510660656.4404
MEM 66.851562 1510660656.5428
MEM 66.957031 1510660656.6455
MEM 67.066406 1510660656.7492
MEM 67.164062 1510660656.8501
MEM 67.273438 1510660656.9524
MEM 67.371094 1510660657.0531
MEM 67.480469 1510660657.1572
MEM 67.589844 1510660657.2590
MEM 67.687500 1510660657.3594
MEM 67.796875 1510660657.4636
MEM 67.906250 1510660657.5667
MEM 68.015625 1510660657.6692
MEM 68.117188 1510660657.7715
MEM 68.226562 1510660657.8758
MEM 68.335938 1510660657.9787
MEM 68.433594 1510660658.0789
MEM 68.035156 1510660658.1812
MEM 68.140625 1510660658.2829
MEM 68.242188 1510660658.3859
MEM 68.351562 1510660658.4863
MEM 68.460938 1510660658.5906
MEM 68.562500 1510660658.6929
MEM 68.667969 1510660658.7952
MEM 68.777344 1510660658.8991
MEM 68.878906 1510660659.0036
MEM 68.992188 1510660659.1087
MEM 69.101562 1510660659.2138
MEM 69.214844 1510660659.3175
MEM 69.316406 1510660659.4227
MEM 69.421875 1510660659.5249
MEM 69.535156 1510660659.6300
MEM 69.644531 1510660659.7335
MEM 69.746094 1510660659.8386
MEM 69.855469 1510660659.9407
MEM 69.968750 1510660660.0458
MEM 70.070312 1510660660.1491
MEM 70.179688 1510660660.2542
MEM 70.285156 1510660660.3552
MEM 70.394531 1510660660.4591
MEM 70.496094 1510660660.5597
MEM 70.605469 1510660660.6628
MEM 70.714844 1510660660.7675
MEM 70.812500 1510660660.8676
MEM 70.921875 1510660660.9727
MEM 71.031250 1510660661.0749
MEM 71.128906 1510660661.1757
MEM 71.242188 1510660661.2808
MEM 71.351562 1510660661.3850
MEM 71.464844 1510660661.4901
MEM 71.566406 1510660661.5952
MEM 71.675781 1510660661.6990
MEM 71.785156 1510660661.8041
MEM 71.886719 1510660661.9092
MEM 71.996094 1510660662.0143
MEM 72.109375 1510660662.1188
MEM 72.214844 1510660662.2226
MEM 72.320312 1510660662.3277
MEM 72.429688 1510660662.4328
MEM 72.542969 1510660662.5379
MEM 72.652344 1510660662.6430
MEM 72.753906 1510660662.7481
MEM 72.859375 1510660662.8490
MEM 72.964844 1510660662.9515
MEM 73.070312 1510660663.0566
MEM 73.175781 1510660663.1568
MEM 73.285156 1510660663.2619
MEM 73.390625 1510660663.3670
MEM 73.500000 1510660663.4721
MEM 73.605469 1510660663.5726
MEM 73.707031 1510660663.6756
MEM 73.816406 1510660663.7807
MEM 72.261719 1510660663.8857
MEM 72.371094 1510660663.9908
MEM 72.476562 1510660664.0959
MEM 72.585938 1510660664.1989
MEM 72.699219 1510660664.3040
MEM 72.796875 1510660664.4041
MEM 72.906250 1510660664.5092
MEM 73.015625 1510660664.6144
MEM 73.128906 1510660664.7195
MEM 73.230469 1510660664.8246
MEM 73.335938 1510660664.9257
MEM 73.449219 1510660665.0308
MEM 73.546875 1510660665.1327
MEM 73.660156 1510660665.2378
MEM 73.769531 1510660665.3409
MEM 73.878906 1510660665.4456
MEM 73.980469 1510660665.5489
MEM 74.085938 1510660665.6518
MEM 74.191406 1510660665.7551
MEM 74.289062 1510660665.8561
MEM 74.394531 1510660665.9600
MEM 74.496094 1510660666.0633
MEM 74.601562 1510660666.1657
MEM 74.707031 1510660666.2700
MEM 74.804688 1510660666.3748
